impl,layers,batch,activation,time_ms,gflops
activation_fused,2048,4096,4096,2048,2048,relu,15.87,8662.56
baseline,1024,2048,4096,2048,1024,64,relu,18.47,145.31
activation_fused,1024,2048,4096,2048,1024,64,relu,17.49,153.44
baseline,1024,2048,4096,2048,1024,128,relu,5.61,957.60
activation_fused,1024,2048,4096,2048,1024,128,relu,5.51,973.78
baseline,1024,2048,4096,2048,1024,256,relu,5.81,1849.01
activation_fused,1024,2048,4096,2048,1024,256,relu,5.84,1837.03
baseline,1024,2048,4096,2048,1024,512,relu,6.87,3127.28
activation_fused,1024,2048,4096,2048,1024,512,relu,7.07,3039.35
baseline,1024,2048,4096,2048,1024,1024,relu,8.63,4977.22
activation_fused,1024,2048,4096,2048,1024,1024,relu,8.55,5024.96
baseline,1024,2048,4096,2048,1024,1536,relu,10.25,6287.06
activation_fused,1024,2048,4096,2048,1024,1536,relu,10.19,6320.53
baseline,1024,2048,4096,2048,1024,2048,relu,11.86,7241.55
activation_fused,1024,2048,4096,2048,1024,2048,relu,11.79,7283.67
