impl,layers,batch,activation,time_ms,gflops
baseline,512,512,512,64,relu,17.86,3.76
activation_fused,512,512,512,64,relu,17.73,3.79
baseline,512,512,512,128,relu,17.34,7.74
activation_fused,512,512,512,128,relu,17.85,7.52
baseline,512,512,512,256,relu,17.47,15.37
activation_fused,512,512,512,256,relu,17.87,15.02
baseline,512,512,512,512,relu,4.88,110.05
activation_fused,512,512,512,512,relu,4.88,110.05
baseline,1024,2048,1024,64,relu,17.18,31.26
activation_fused,1024,2048,1024,64,relu,17.83,30.12
baseline,1024,2048,1024,128,relu,5.04,212.87
activation_fused,1024,2048,1024,128,relu,5.37,199.77
baseline,1024,2048,1024,256,relu,5.08,422.39
activation_fused,1024,2048,1024,256,relu,5.07,423.84
baseline,1024,2048,1024,512,relu,5.27,814.74
activation_fused,1024,2048,1024,512,relu,5.24,819.04
baseline,2048,2048,2048,64,relu,17.52,61.27
activation_fused,2048,2048,2048,64,relu,17.40,61.70
baseline,2048,2048,2048,128,relu,5.10,421.11
activation_fused,2048,2048,2048,128,relu,5.16,416.35
baseline,2048,2048,2048,256,relu,5.21,824.51
activation_fused,2048,2048,2048,256,relu,5.27,815.07
baseline,2048,2048,2048,512,relu,5.67,1513.92
activation_fused,2048,2048,2048,512,relu,5.37,1600.89
