impl,M,K,N,density,nnz,time_ms,gflops
baseline,2048,256,128,0.01,5394,0.430944,3.20428
optimized,2048,256,128,0.01,5394,0.10448,13.2165
baseline,2048,256,256,0.01,5394,0.75792,3.64383
optimized,2048,256,256,0.01,5394,0.129728,21.2886
baseline,2048,512,32,0.01,10599,0.245792,2.7598
optimized,2048,512,32,0.01,10599,0.099328,6.82925
baseline,2048,512,64,0.01,10599,0.382304,3.54867
optimized,2048,512,64,0.01,10599,0.10976,12.3603
baseline,2048,512,128,0.01,10599,0.680544,3.98702
optimized,2048,512,128,0.01,10599,0.104256,26.0258
baseline,2048,512,256,0.01,10599,1.23395,4.39781
optimized,2048,512,256,0.01,10599,0.107872,50.3067
baseline,2048,1024,32,0.01,21112,0.361088,3.74194
optimized,2048,1024,32,0.01,21112,0.102208,13.2198
baseline,2048,1024,64,0.01,21112,0.621088,4.35097
optimized,2048,1024,64,0.01,21112,0.103904,26.008
baseline,2048,1024,128,0.01,21112,1.16074,4.65625
optimized,2048,1024,128,0.01,21112,0.096096,56.2424
baseline,2048,1024,256,0.01,21112,2.21133,4.88817
optimized,2048,1024,256,0.01,21112,0.09216,117.289
baseline,2048,2048,32,0.01,42105,0.605152,4.45296
optimized,2048,2048,32,0.01,42105,0.104256,25.8471
baseline,2048,2048,64,0.01,42105,1.12272,4.80034
optimized,2048,2048,64,0.01,42105,0.09216,58.4792
baseline,2048,2048,128,0.01,42105,2.17136,4.96411
optimized,2048,2048,128,0.01,42105,0.09216,116.958
baseline,2048,2048,256,0.01,42105,4.24403,5.07955
optimized,2048,2048,256,0.01,42105,0.135392,159.225
